title,year,city,adj_len_norm,change
Total On-Street Cycling Infrastructure,2009,Calgary,0.7290444506625207,
Total On-Street Cycling Infrastructure,2009,Toronto,11.202909545832185,
Total On-Street Cycling Infrastructure,2009,Vancouver,12.580541674471771,
Total On-Street Cycling Infrastructure,2010,Calgary,1.3135314423757214,0.5844869917132007
Total On-Street Cycling Infrastructure,2010,Toronto,12.026710411990035,0.8238008661578498
Total On-Street Cycling Infrastructure,2010,Vancouver,14.538354042051505,1.9578123675797343
Total On-Street Cycling Infrastructure,2011,Calgary,2.3133833641423935,0.9998519217666721
Total On-Street Cycling Infrastructure,2011,Toronto,12.418272740465582,0.3915623284755476
Total On-Street Cycling Infrastructure,2011,Vancouver,18.080348903053913,3.541994861002408
Total On-Street Cycling Infrastructure,2012,Calgary,2.9962100214203615,0.682826657277968
Total On-Street Cycling Infrastructure,2012,Toronto,12.552681938708904,0.13440919824332198
Total On-Street Cycling Infrastructure,2012,Vancouver,24.515235983791165,6.434887080737251
Total On-Street Cycling Infrastructure,2013,Calgary,3.3922835952317136,0.3960735738113521
Total On-Street Cycling Infrastructure,2013,Toronto,12.99827911602402,0.4455971773151166
Total On-Street Cycling Infrastructure,2013,Vancouver,31.667705398242507,7.1524694144513425
Total On-Street Cycling Infrastructure,2014,Calgary,4.511721019751584,1.1194374245198704
Total On-Street Cycling Infrastructure,2014,Toronto,14.658224369034288,1.6599452530102674
Total On-Street Cycling Infrastructure,2014,Vancouver,33.43781272445686,1.7701073262143545
Total On-Street Cycling Infrastructure,2015,Calgary,5.206452552530778,0.6947315327791941
Total On-Street Cycling Infrastructure,2015,Toronto,16.542787305794025,1.8845629367597372
Total On-Street Cycling Infrastructure,2015,Vancouver,34.764650920772866,1.3268381963160039
Total On-Street Cycling Infrastructure,2016,Calgary,6.073466556892258,0.8670140043614802
Total On-Street Cycling Infrastructure,2016,Toronto,17.592208213717477,1.0494209079234516
Total On-Street Cycling Infrastructure,2016,Vancouver,35.71584242088444,0.9511915001115767
Total On-Street Cycling Infrastructure,2017,Calgary,7.277109841647046,1.2036432847547873
Total On-Street Cycling Infrastructure,2017,Toronto,19.27296948693516,1.6807612732176835
